x,y,z
1.0161133,0.24975586,-0.12646484
1.0124512,0.2553711,-0.115478516
1.0078125,0.26123048,-0.110839836
1.0126953,0.26220704,-0.09741211
1.0119629,0.26220704,-0.12670898
1.0170898,0.26660156,-0.11645508
1.0134277,0.26391602,-0.12548828
1.0136719,0.25756836,-0.11669922
1.0151367,0.27124024,-0.10424805
1.0146484,0.26123048,-0.111328132
1.0170898,0.2614746,-0.11694336
1.0126953,0.25732422,-0.1184082
1.0100098,0.26660156,-0.11376953
1.015625,0.27319336,-0.111816408
1.012207,0.2578125,-0.11425781
1.0151367,0.24438476,-0.10668945
1.0151367,0.26953124,-0.125
1.0119629,0.26904296,-0.10546875
1.0126953,0.25317384,-0.11694336
1.0102539,0.246337884,-0.12426758
1.013916,0.25463868,-0.12573242
1.0151367,0.27075196,-0.12426758
1.012207,0.26367188,-0.12939453
1.0151367,0.26000976,-0.1184082
1.015625,0.26416016,-0.11669922
1.010498,0.25024414,-0.10620117
1.0107422,0.26367188,-0.11376953
1.0153808,0.2775879,-0.099365232
1.0161133,0.25708008,-0.08959961
1.0144043,0.27783204,-0.11987305
1.015625,0.27172852,-0.10546875
1.0080566,0.25097656,-0.103515624
1.0134277,0.25732422,-0.1237793
1.0141602,0.26708984,-0.111083984
1.0085449,0.24438476,-0.11791992
1.0153808,0.25268556,-0.12524414
1.0151367,0.2626953,-0.11206055
1.0200195,0.2529297,-0.10644531
1.0126953,0.2631836,-0.12182617
1.0100098,0.24853516,-0.12182617
1.0161133,0.28076172,-0.119140624
1.0126953,0.265625,-0.11645508
1.013916,0.26635742,-0.14208984
1.0161133,0.25170898,-0.10180664
1.0117188,0.2692871,-0.099853512
1.0100098,0.26464844,-0.10791016
1.0200195,0.27905272,-0.119140624
1.0117188,0.25512696,-0.10205078
1.0107422,0.2487793,-0.12451172
1.0136719,0.25927734,-0.1105957
1.0134277,0.26049804,-0.11376953
1.0131836,0.25708008,-0.11279297
1.0107422,0.2680664,-0.11254883
1.0100098,0.26416016,-0.122802732
1.0163574,0.27368164,-0.12646484
1.0068359,0.25878906,-0.12133789
1.0146484,0.27246094,-0.10205078
